Census Tract,Total Population,ZIP,Nearby City,Longitude,Latitude,Drinking Water,geometry
6037204920,2639,90023,Los Angeles,-118.1974975,34.0175004,766.84,POINT (-118.1974975 34.0175004)
6037226002,1754,90021,Los Angeles,-118.2477686,34.0326196,766.84,POINT (-118.2477686 34.0326196)
6037206050,2010,90023,Los Angeles,-118.2244531,34.0299036,766.84,POINT (-118.2244531 34.0299036)
6037531302,6142,90023,Los Angeles,-118.1827241,34.0169019,824.22,POINT (-118.1827241 34.0169019)
6037532302,4819,90023,Los Angeles,-118.1751711,34.0096885,677.2,POINT (-118.1751711 34.0096885)
6037203300,1982,90033,Los Angeles,-118.2077883,34.0588723,774.24,POINT (-118.2077883 34.0588723)
6037239330,2689,90001,Los Angeles,-118.2631029,33.9783876,766.84,POINT (-118.2631029 33.9783876)
6037535400,3345,90002,Los Angeles,-118.2314205,33.947117,865.02,POINT (-118.2314205 33.947117)
6037227010,5552,90011,Los Angeles,-118.2469968,34.0185256,766.84,POINT (-118.2469968 34.0185256)
6037205120,3521,90023,Los Angeles,-118.2117956,34.0187546,766.84,POINT (-118.2117956 34.0187546)
6037240500,7466,90003,Los Angeles,-118.275663,33.9469248,766.84,POINT (-118.275663 33.9469248)
6037226001,2531,90021,Los Angeles,-118.2502739,34.0244835,766.84,POINT (-118.2502739 34.0244835)
6037239202,5682,90001,Los Angeles,-118.2649765,33.9856783,766.84,POINT (-118.2649765 33.9856783)
6037243100,6490,90059,Los Angeles,-118.2350934,33.9327963,766.84,POINT (-118.2350934 33.9327963)
6037239201,3913,90003,Los Angeles,-118.2771699,33.9857805,766.84,POINT (-118.2771699 33.9857805)
6037242600,4745,90059,Los Angeles,-118.2502423,33.932376,766.84,POINT (-118.2502423 33.932376)
6037531301,4972,90023,Los Angeles,-118.1822336,34.0217436,838.03,POINT (-118.1822336 34.0217436)
6037540400,2687,90059,Los Angeles,-118.2282398,33.9326754,824.23,POINT (-118.2282398 33.9326754)
6037228900,2650,90058,Los Angeles,-118.2430143,33.9920544,766.84,POINT (-118.2430143 33.9920544)
6037203500,2984,90033,Los Angeles,-118.2185819,34.057226,739.63,POINT (-118.2185819 34.057226)
6037239501,3622,90001,Los Angeles,-118.2628927,33.9729857,766.84,POINT (-118.2628927 33.9729857)
6037532304,4176,90040,Los Angeles,-118.1526793,33.9862905,700,POINT (-118.1526793 33.9862905)
6037242700,5945,90059,Los Angeles,-118.2426486,33.9363535,766.84,POINT (-118.2426486 33.9363535)
6037239702,4096,90003,Los Angeles,-118.2750006,33.962202,766.84,POINT (-118.2750006 33.962202)
6037530700,2354,90063,Los Angeles,-118.183979,34.0592143,906.59,POINT (-118.183979 34.0592143)
6037241001,4429,90061,Los Angeles,-118.2679732,33.9296426,784,POINT (-118.2679732 33.9296426)
6037206032,5185,90033,Los Angeles,-118.2246242,34.046259,766.84,POINT (-118.2246242 34.046259)
6037540901,4694,90061,Los Angeles,-118.2717325,33.9194635,580.58,POINT (-118.2717325 33.9194635)
6037205110,3861,90023,Los Angeles,-118.2142985,34.0245059,766.84,POINT (-118.2142985 34.0245059)
6037240200,5311,90003,Los Angeles,-118.2761415,33.9560337,766.84,POINT (-118.2761415 33.9560337)
6037241120,5137,90061,Los Angeles,-118.2768346,33.9364442,766.84,POINT (-118.2768346 33.9364442)
6037241002,4065,90059,Los Angeles,-118.2614031,33.925262,781.56,POINT (-118.2614031 33.925262)
6037204600,4121,90023,Los Angeles,-118.2158297,34.0366414,766.84,POINT (-118.2158297 34.0366414)
6037204700,5676,90023,Los Angeles,-118.2124515,34.0309821,803.81,POINT (-118.2124515 34.0309821)
6037532800,4334,90001,Los Angeles,-118.2520926,33.9864059,680.78,POINT (-118.2520926 33.9864059)
6037540700,3281,90059,Los Angeles,-118.2453429,33.9255436,404.08,POINT (-118.2453429 33.9255436)
6037185320,2970,90065,Los Angeles,-118.2242419,34.0887194,748.5,POINT (-118.2242419 34.0887194)
6037239701,5015,90003,Los Angeles,-118.2752632,33.966092,766.84,POINT (-118.2752632 33.966092)
6037241400,3644,90061,Los Angeles,-118.2755609,33.92558,781.37,POINT (-118.2755609 33.92558)
6037240600,6325,90003,Los Angeles,-118.2684059,33.946945,766.84,POINT (-118.2684059 33.946945)
6037602801,3255,90044,Los Angeles,-118.3001717,33.927402,371.35,POINT (-118.3001717 33.927402)
6037219902,3799,90016,Los Angeles,-118.368517,34.02931,733.37,POINT (-118.368517 34.02931)
6037204810,5462,90023,Los Angeles,-118.2030018,34.0285553,748.34,POINT (-118.2030018 34.0285553)
6037204420,3094,90033,Los Angeles,-118.2116197,34.0445316,803.08,POINT (-118.2116197 34.0445316)
6037239601,3629,90003,Los Angeles,-118.2752977,33.9728371,766.84,POINT (-118.2752977 33.9728371)
6037219901,4165,90016,Los Angeles,-118.3605226,34.0297377,766.84,POINT (-118.3605226 34.0297377)
6037530500,3738,90022,Los Angeles,-118.165883,34.0387595,829.15,POINT (-118.165883 34.0387595)
6037240900,6355,90059,Los Angeles,-118.2606543,33.9346821,782.72,POINT (-118.2606543 33.9346821)
6037228100,5476,90011,Los Angeles,-118.2439607,34.009617,766.84,POINT (-118.2439607 34.009617)
6037228800,5901,90058,Los Angeles,-118.2432565,33.9992469,766.84,POINT (-118.2432565 33.9992469)
6037206010,3943,90012,Los Angeles,-118.2302769,34.06898,766.84,POINT (-118.2302769 34.06898)
6037239310,4026,90003,Los Angeles,-118.2773062,33.9785291,766.84,POINT (-118.2773062 33.9785291)
