FID,industry_sector,site_id,facility_name,address,city,state,Latitude,Longitude,geometry
50,Chemicals,5679,AMVAC CHEMICAL CORP,4100 E WASHINGTON BLVD,LOS ANGELES,CA,34.009718,-118.188154,POINT (-118.188154 34.009718)
54,Fabricated Metals,5985,ANODIZING INDUSTRIES INC,5222 ALHAMBRA AVE.,LOS ANGELES,CA,34.07386,-118.171608,POINT (-118.171608 34.07386)
93,Chemicals,11192,"BAXALTA US INC., PART OF THE TAKEDA GROUP",4501 Colorado Blvd,Los Angeles,CA,34.1417,-118.2698,POINT (-118.2698 34.1417)
137,Fabricated Metals,14904,CAL METAL X,366 E 58TH ST  ATTN PARCEL 5100-007-003,LOS ANGELES,CA,33.98968,-118.26886,POINT (-118.26886 33.98968)
197,Fabricated Metals,18916,CHROMAL PLATING COMPANY,1748 WORKMAN STREET,LOS ANGELES,CA,34.062584,-118.213792,POINT (-118.213792 34.062584)
254,Fabricated Metals,24030,DAVID H FELL & CO INC,6009 BANDINI BLVD,LOS ANGELES,CA,33.991673,-118.156525,POINT (-118.156525 33.991673)
295,Fabricated Metals,27971,ELECTROLIZING INC,1947 HOOPER AVE,LOS ANGELES,CA,34.02137,-118.24654,POINT (-118.24654 34.02137)
312,Fabricated Metals,29099,EXIDE TECHNOLOGIES,2700 S Indiana St,Los Angeles,CA,34.005047,-118.193237,POINT (-118.193237 34.005047)
316,Textiles,29399,FABRI COTE,724 E 60th St,Los Angeles,CA,33.985298,-118.26242,POINT (-118.26242 33.985298)
382,Chemicals,34514,GRIFOLS BIOLOGICALS,5555 E VALLEY BLVD,LOS ANGELES,CA,34.075764,-118.162636,POINT (-118.162636 34.075764)
384,Fabricated Metals,34611,GROVER PRODUCTS CO,3424 E OLYMPIC BLVD,LOS ANGELES,CA,34.01877,-118.20448,POINT (-118.20448 34.01877)
435,Chemicals,37376,HUNTSMAN ADVANCED MATERIALS AMERICAS LLC-LA SITE,5121 SAN FERNANDO RD W,LOS ANGELES,CA,34.145283,-118.272034,POINT (-118.272034 34.145283)
478,Primary Metals,40955,KAISER ALUMINUM FABRICATED PRODUCTS LLC,6250 E BANDINI BLVD,LOS ANGELES,CA,33.988167,-118.147587,POINT (-118.147587 33.988167)
505,Fabricated Metals,44360,LIBERTY MFG INC,2233 E 16TH ST,LOS ANGELES,CA,34.020297,-118.232531,POINT (-118.232531 34.020297)
514,Nonmetallic Mineral Product,45070,Los Angeles Plant 15,3365 E 26TH ST,LOS ANGELES,CA,34.01297,-118.210976,POINT (-118.210976 34.01297)
545,Chemicals,49447,MISSION KLEENSWEEP PRODUCTS INC,2434 Birkdale St,Los Angeles,CA,34.093524,-118.237358,POINT (-118.237358 34.093524)
564,Nonmetallic Mineral Product,51170,NATIONAL READY MIX CONCRETE CO,4549 Brazil St,Los Angeles,CA,34.146825,-118.27402,POINT (-118.27402 34.146825)
568,Nonmetallic Mineral Product,51209,NATIONAL WIRE & CABLE CORP,136 SAN FERNANDO RD,LOS ANGELES,CA,34.07515,-118.22173,POINT (-118.22173 34.07515)
573,Chemicals,51545,JOHNSON AND JOHNSON CONSUMER INC.,5760 W 96th St,Los Angeles,CA,33.948856,-118.383125,POINT (-118.383125 33.948856)
604,Fabricated Metals,54477,P KAY METAL INC,2448 E 25TH ST,LOS ANGELES,CA,34.015254,-118.228502,POINT (-118.228502 34.015254)
643,Chemicals,58103,POLYCHEMIE INC,4690 WORTH ST,LOS ANGELES,CA,34.06226,-118.18141,POINT (-118.18141 34.06226)
651,Fabricated Metals,58561,PRECISION SPECIALTY METALS INC .,3301 MEDFORD ST,LOS ANGELES,CA,34.061291,-118.190498,POINT (-118.190498 34.061291)
686,Chemicals,62558,VENATOR AMERICAS LLC.,3700 E OLYMPIC BLVD,LOS ANGELES,CA,34.017555,-118.195953,POINT (-118.195953 34.017555)
741,Miscellaneous Manufacturing,67943,SILVESTRI CALIFORNIA,8125 BEACH ST,LOS ANGELES,CA,33.965379,-118.2421,POINT (-118.2421 33.965379)
760,Fabricated Metals,69960,SPECTRUM PLATING,202 W 140TH ST,LOS ANGELES,CA,33.904032,-118.275931,POINT (-118.275931 33.904032)
786,Fabricated Metals,74284,TELEDYNE MICROELECTRONIC TECHNOLOGIES,12964 Panama St,Los Angeles,CA,33.982788,-118.428825,POINT (-118.428825 33.982788)
792,Chemicals,74735,TEXTURED COATINGS OF AMERICA INC,5950 S AVALON BLVD,LOS ANGELES,CA,33.986,-118.26407,POINT (-118.26407 33.986)
835,Food,78703,Unified Grocers Inc.,3626 11TH STREET,LOS ANGELES,CA,34.022122,-118.329186,POINT (-118.329186 34.022122)
836,Fabricated Metals,78872,UNITED ALLOYS & METALS INC,900 E SLAUSON AVE,LOS ANGELES,CA,33.988705,-118.260292,POINT (-118.260292 33.988705)
848,Fabricated Metals,79598,V & M AEROSPACE,14024 AVALON BLVD,LOS ANGELES,CA,33.903869,-118.264663,POINT (-118.264663 33.903869)
871,Chemicals,84003,"GCP APPLIED TECHNOLOGIES, INC",7237 EAST GAGE AVE,LOS ANGELES,CA,33.974891,-118.127351,POINT (-118.127351 33.974891)
878,Primary Metals,85232,WEST COAST FOUNDRY LLC,2450 E 53rd St,Los Angeles,CA,33.994559,-118.228438,POINT (-118.228438 33.994559)
879,Fabricated Metals,85244,West Coast Metal Finishing,5722 BANDERA STREET,LOS ANGELES,CA,33.990477,-118.23998,POINT (-118.23998 33.990477)
908,Chemicals,90247,EVONIK CORPORATION,3305 E 26TH ST,LOS ANGELES,CA,34.01471,-118.211459,POINT (-118.211459 34.01471)
914,Chemical Wholesalers,90313,AIRGAS USA LLC,11711 S ALAMEDA ST,LOS ANGELES,CA,33.927162,-118.226325,POINT (-118.226325 33.927162)
924,Fabricated Metals,91157,ALLOYS CLEANING INC,1960 E GAGE AVE,LOS ANGELES,CA,33.9817,-118.23695,POINT (-118.23695 33.9817)
935,Chemicals,92264,Anderson Lithograph,3217 S GARFIELD AVE,LOS ANGELES,CA,33.986641,-118.139291,POINT (-118.139291 33.986641)
954,Fabricated Metals,93432,ARROWHEAD BRASS & PLUMBING LLC,5142 ALHAMBRA AVE,LOS ANGELES,CA,34.072052,-118.173805,POINT (-118.173805 34.072052)
970,Fabricated Metals,97408,BARRY AVENUE PLATING CO,2210 BARRY AVE,LOS ANGELES,CA,34.034664,-118.446357,POINT (-118.446357 34.034664)
975,Paper,97791,Newark Custom Paperboard,935 E 59TH ST,LOS ANGELES,CA,33.987683,-118.257968,POINT (-118.257968 33.987683)
976,Hazardous Waste,98253,PACIFIC RESOURCE RECOVERY SERVICES (PART),3150 E Pico Blvd,Los Angeles,CA,34.017967,-118.211752,POINT (-118.211752 34.017967)
992,Primary Metals,100108,BRITE PLATING  COMPANY,1313 MIRASOL STREET,LOS ANGELES,CA,34.017918,-118.199723,POINT (-118.199723 34.017918)
1005,Nonmetallic Mineral Product,102356,CalPortland Company ALAMEDA PLANT,1862 E 27th St,Los Angeles,CA,34.012862,-118.2368,POINT (-118.2368 34.012862)
1007,Nonmetallic Mineral Product,102358,CalPortland Company LAX PLANT,5299 W 111th St,Los Angeles,CA,33.934587,-118.372226,POINT (-118.372226 33.934587)
1013,Nonmetallic Mineral Product,102364,CalPortland Company WEST LA PLANT,11122 W Pico Blvd,Los Angeles,CA,34.03565,-118.43569,POINT (-118.43569 34.03565)
1031,Nonmetallic Mineral Product,104029,CEMEX LOS ANGELES PLANT,625 LAMAR,LOS ANGELES,CA,34.066331,-118.223042,POINT (-118.223042 34.066331)
1039,Fabricated Metals,104326,CERTIFIED ENAMELING INC,3342 EMERY ST,LOS ANGELES,CA,34.015728,-118.207404,POINT (-118.207404 34.015728)
1067,Petroleum Bulk Terminals,107764,PHILLIPS 66 LOS ANGELES TERMINAL,13500 S Broadway,Los Angeles,CA,33.908815,-118.277411,POINT (-118.277411 33.908815)
1156,Chemicals,119110,GENERAL CARBON CO,7542 Maie Ave,Los Angeles,CA,33.971458,-118.243912,POINT (-118.243912 33.971458)
1160,Fabricated Metals,119271,GEORGE INDUSTRIES,4116 WHITESIDE ST,LOS ANGELES,CA,34.05952,-118.17857,POINT (-118.17857 34.05952)
1189,Plastics and Rubber,122502,ELITE COMFORT SOLUTIONS,4542 E DUNHAM ST,LOS ANGELES,CA,34.01213,-118.174767,POINT (-118.174767 34.01213)
1290,Chemicals,5679,AMVAC CHEMICAL CORP,4100 E WASHINGTON BLVD,LOS ANGELES,CA,34.009718,-118.188154,POINT (-118.188154 34.009718)
1295,Fabricated Metals,5985,ANODIZING INDUSTRIES INC,5222 ALHAMBRA AVE.,LOS ANGELES,CA,34.07386,-118.171608,POINT (-118.171608 34.07386)
1354,Chemicals,11192,"BAXALTA US INC., PART OF THE TAKEDA GROUP",4501 Colorado Blvd,Los Angeles,CA,34.1417,-118.2698,POINT (-118.2698 34.1417)
1363,Fabricated Metals,131383,LOS ANGELES DIE CASTING,333 S Central Ave,Los Angeles,CA,34.045101,-118.239876,POINT (-118.239876 34.045101)
1369,Fabricated Metals,131386,LOS ANGELES GALVANIZING CO.,2524 E 52nd St,Los Angeles,CA,33.995508,-118.226792,POINT (-118.226792 33.995508)
1465,Fabricated Metals,134390,METAL BRIQUITTING,5800 S SAN PEDRO ST 5101-007-004,LOS ANGELES,CA,33.989563,-118.269317,POINT (-118.269317 33.989563)
1494,Fabricated Metals,18916,CHROMAL PLATING COMPANY,1748 WORKMAN STREET,LOS ANGELES,CA,34.062584,-118.213792,POINT (-118.213792 34.062584)
1571,Fabricated Metals,139799,OLD COUNTRY MILLWORK INC.,5855 HOOPER AVENUE,LOS ANGELES,CA,33.988066,-118.2527,POINT (-118.2527 33.988066)
1586,Fabricated Metals,24030,DAVID H FELL & CO INC,6009 BANDINI BLVD,LOS ANGELES,CA,33.991673,-118.156525,POINT (-118.156525 33.991673)
1645,Fabricated Metals,27971,ELECTROLIZING INC,1947 HOOPER AVE,LOS ANGELES,CA,34.02137,-118.24654,POINT (-118.24654 34.02137)
1672,Fabricated Metals,29099,EXIDE TECHNOLOGIES,2700 S Indiana St,Los Angeles,CA,34.005047,-118.193237,POINT (-118.193237 34.005047)
1680,Textiles,29399,FABRI COTE,724 E 60th St,Los Angeles,CA,33.985298,-118.26242,POINT (-118.26242 33.985298)
1776,Chemicals,34514,GRIFOLS BIOLOGICALS,5555 E VALLEY BLVD,LOS ANGELES,CA,34.075764,-118.162636,POINT (-118.162636 34.075764)
1779,Fabricated Metals,34611,GROVER PRODUCTS CO,3424 E OLYMPIC BLVD,LOS ANGELES,CA,34.01877,-118.20448,POINT (-118.20448 34.01877)
1849,Chemicals,37376,HUNTSMAN ADVANCED MATERIALS AMERICAS LLC-LA SITE,5121 SAN FERNANDO RD W,LOS ANGELES,CA,34.145283,-118.272034,POINT (-118.272034 34.145283)
1915,Primary Metals,40955,KAISER ALUMINUM FABRICATED PRODUCTS LLC,6250 E BANDINI BLVD,LOS ANGELES,CA,33.988167,-118.147587,POINT (-118.147587 33.988167)
1949,Fabricated Metals,44360,LIBERTY MFG INC,2233 E 16TH ST,LOS ANGELES,CA,34.020297,-118.232531,POINT (-118.232531 34.020297)
